#META,MuseumID=MIM,ContentVersion=1.34,FileType=TourThemeCueCard,ExportedAt=2026-03-18T19:13:42Z,
TourType,Card Title,Theme Title,Theme Content,Lessons Title,Lessons Content
Artist Residency,Themes and Three Lessons,,,,
Celebrating Community Tour,Themes and Three Lessons,Theme,Music and community,Three Lessons,Many people come together to create something made possible through collaboration;People make music together to socialize and feel good being and interacting with other people;People make music together to coordinate movement
Celebrating Community Tour - Drumming,Themes and Three Lessons,Theme,Music and community,Three Lessons,Many people come together to create something made possible through collaboration;People make music together to socialize and feel good being and interacting with other people;People make music together to coordinate movement
Discovery Tour,Themes and Three Lessons,Theme,Music and culture / MIM highlights,Three Lessons,As people travel music travels;People are creative everywhere;People often make things from local available materials
Discovery Tour - Drumming,Themes and Three Lessons,Theme,Music and culture / MIM highlights,Three Lessons,As people travel music travels;People are creative everywhere;People often make things from local available materials
Fiestas! Latin America Tour 3rd-12th,Themes and Three Lessons,Theme,Music from Latin America,Three Lessons,Musical (street) festivals are common in Latin America;Latin American music reflects the region's diversity;Latin American music has spread beyond Latin America
Fiestas! Latin America Tour 3rd-12th - Drumming,Themes and Three Lessons,Theme,Music from Latin America,Three Lessons,Musical (street) festivals are common in Latin America;Latin American music reflects the region's diversity;Latin American music has spread beyond Latin America
Fiestas! Latin America Tour K-2,Themes and Three Lessons,Theme,Music from Latin America,Three Lessons,Musical (street) festivals are common in Latin America;Latin American music reflects the region's diversity;Latin American music has spread beyond Latin America
Fiestas! Latin America Tour K-2 - Drumming,Themes and Three Lessons,Theme,Music from Latin America,Three Lessons,Musical (street) festivals are common in Latin America;Latin American music reflects the region's diversity;Latin American music has spread beyond Latin America
Musical Menagerie Tour,Themes and Three Lessons,Theme,Music and animals,Three Lessons,People make instruments that look like animals;People make music that sounds like animals;People make music with and for animals
Sounds All Around Tour,Themes and Three Lessons,Theme,Music and the senses,Three Lessons,People move to music in many ways;Instruments are made from many materials;Music expresses the life of a place
Stem Tour,Themes and Three Lessons,Theme,Music and STEM,Three Lessons,Sound is vibration;In acoustic instruments resonators allow us to hear the vibrations;In electric instruments electrical currents help us hear the vibrations (through electromagnetism and loudspeakers)
Stem Tour - Drumming,Themes and Three Lessons,Theme,Music and STEM,Three Lessons,Sound is vibration;In acoustic instruments resonators allow us to hear the vibrations;In electric instruments electrical currents help us hear the vibrations (through electromagnetism and loudspeakers)
